Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,9536,9644.6,Left-Lateral-Ventricle,26.3914,11.7380,4.0000,80.0000,76.0000
2,5,154,192.3,Left-Inf-Lat-Vent,43.9026,12.5191,17.0000,72.0000,55.0000
3,7,13450,13887.4,Left-Cerebellum-White-Matter,84.1728,6.8110,37.0000,104.0000,67.0000
4,8,41936,41796.2,Left-Cerebellum-Cortex,60.7519,9.9959,18.0000,100.0000,82.0000
5,10,5214,5025.8,Left-Thalamus,81.4904,8.6050,38.0000,106.0000,68.0000
6,11,2872,2790.3,Left-Caudate,76.3092,7.1431,49.0000,97.0000,48.0000
7,12,4283,4094.9,Left-Putamen,81.4182,6.7229,57.0000,103.0000,46.0000
8,13,1356,1362.8,Left-Pallidum,96.2758,4.0754,78.0000,111.0000,33.0000
9,14,1830,1844.6,3rd-Ventricle,27.4639,10.3357,10.0000,69.0000,59.0000
10,15,1582,1713.5,4th-Ventricle,29.0759,11.0942,10.0000,66.0000,56.0000
11,16,16528,16466.8,Brain-Stem,81.5103,8.6870,25.0000,113.0000,88.0000
12,17,3964,3726.4,Left-Hippocampus,65.4690,7.9339,33.0000,94.0000,61.0000
13,18,1392,1360.3,Left-Amygdala,66.2866,6.5621,42.0000,85.0000,43.0000
14,24,1378,1235.3,CSF,38.6967,13.3133,12.0000,76.0000,64.0000
15,26,452,453.4,Left-Accumbens-area,71.9978,5.1731,43.0000,87.0000,44.0000
16,28,3298,3260.2,Left-VentralDC,87.9445,9.8065,41.0000,112.0000,71.0000
17,30,73,85.0,Left-vessel,58.9452,10.5920,34.0000,79.0000,45.0000
18,31,1335,1186.4,Left-choroid-plexus,46.0884,11.4481,19.0000,80.0000,61.0000
19,43,7769,7769.7,Right-Lateral-Ventricle,28.2510,13.3903,6.0000,83.0000,77.0000
20,44,81,102.4,Right-Inf-Lat-Vent,38.1111,9.7095,8.0000,61.0000,53.0000
21,46,12675,13117.6,Right-Cerebellum-White-Matter,83.0127,6.3849,36.0000,106.0000,70.0000
22,47,41336,41086.5,Right-Cerebellum-Cortex,60.8851,9.5033,24.0000,110.0000,86.0000
23,49,5576,5393.6,Right-Thalamus,81.4466,8.7667,41.0000,105.0000,64.0000
24,50,3001,2926.2,Right-Caudate,77.2196,7.4771,47.0000,100.0000,53.0000
25,51,4486,4297.5,Right-Putamen,82.5466,6.6263,60.0000,104.0000,44.0000
26,52,1330,1328.5,Right-Pallidum,96.9308,4.3318,81.0000,113.0000,32.0000
27,53,3974,3741.3,Right-Hippocampus,65.4746,7.9009,34.0000,94.0000,60.0000
28,54,1621,1591.8,Right-Amygdala,66.8964,6.6539,41.0000,87.0000,46.0000
29,58,566,539.2,Right-Accumbens-area,74.0548,5.6023,47.0000,93.0000,46.0000
30,60,3446,3325.0,Right-VentralDC,86.5345,11.0232,30.0000,112.0000,82.0000
31,62,66,79.1,Right-vessel,55.3485,9.8050,26.0000,72.0000,46.0000
32,63,997,862.6,Right-choroid-plexus,50.3631,11.7714,18.0000,78.0000,60.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,755,679.4,WM-hypointensities,70.2530,11.0699,34.0000,100.0000,66.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,9,7.3,non-WM-hypointensities,55.2222,12.5875,42.0000,80.0000,38.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,222,225.2,Optic-Chiasm,72.1937,17.5742,30.0000,109.0000,79.0000
41,251,650,618.0,CC_Posterior,97.3462,14.8975,38.0000,119.0000,81.0000
42,252,345,304.5,CC_Mid_Posterior,92.9333,16.7755,21.0000,113.0000,92.0000
43,253,355,323.3,CC_Central,93.2817,16.9132,41.0000,114.0000,73.0000
44,254,351,323.4,CC_Mid_Anterior,95.8803,16.6152,41.0000,116.0000,75.0000
45,255,556,542.8,CC_Anterior,105.0593,10.4448,57.0000,119.0000,62.0000
