Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,3407,3719.9,Left-Lateral-Ventricle,29.3475,13.1697,0.0000,83.0000,83.0000
2,5,176,219.0,Left-Inf-Lat-Vent,40.1307,12.8165,11.0000,69.0000,58.0000
3,7,13226,13797.3,Left-Cerebellum-White-Matter,83.7906,6.5603,39.0000,106.0000,67.0000
4,8,58245,58268.3,Left-Cerebellum-Cortex,59.7592,9.7394,13.0000,93.0000,80.0000
5,10,8856,8524.7,Left-Thalamus,82.9138,8.7474,45.0000,111.0000,66.0000
6,11,4100,3964.0,Left-Caudate,73.1393,7.9011,44.0000,96.0000,52.0000
7,12,6718,6499.5,Left-Putamen,80.4775,6.2452,58.0000,103.0000,45.0000
8,13,2264,2272.9,Left-Pallidum,93.4218,4.6689,75.0000,108.0000,33.0000
9,14,517,605.9,3rd-Ventricle,44.6867,13.3211,14.0000,70.0000,56.0000
10,15,1269,1446.6,4th-Ventricle,28.7502,11.3153,6.0000,61.0000,55.0000
11,16,21064,20928.8,Brain-Stem,80.5911,8.8996,26.0000,114.0000,88.0000
12,17,4907,4613.5,Left-Hippocampus,66.1492,8.3436,21.0000,96.0000,75.0000
13,18,1994,1921.7,Left-Amygdala,66.1224,7.0945,39.0000,90.0000,51.0000
14,24,842,881.7,CSF,46.1223,11.3469,16.0000,80.0000,64.0000
15,26,869,875.2,Left-Accumbens-area,69.3901,6.0494,36.0000,85.0000,49.0000
16,28,4711,4541.4,Left-VentralDC,87.8051,9.9893,41.0000,130.0000,89.0000
17,30,88,102.3,Left-vessel,56.2273,9.7577,32.0000,70.0000,38.0000
18,31,904,774.0,Left-choroid-plexus,50.0686,11.4283,21.0000,82.0000,61.0000
19,43,4195,4433.4,Right-Lateral-Ventricle,28.5511,13.1859,0.0000,78.0000,78.0000
20,44,86,121.3,Right-Inf-Lat-Vent,37.9419,11.9935,6.0000,64.0000,58.0000
21,46,13379,13880.7,Right-Cerebellum-White-Matter,83.1025,6.2078,39.0000,102.0000,63.0000
22,47,58752,58701.1,Right-Cerebellum-Cortex,61.2306,9.1818,8.0000,93.0000,85.0000
23,49,8653,8343.9,Right-Thalamus,81.4092,8.3544,41.0000,107.0000,66.0000
24,50,4179,4022.3,Right-Caudate,72.0933,7.8385,39.0000,93.0000,54.0000
25,51,6807,6594.6,Right-Putamen,79.2834,6.3324,40.0000,106.0000,66.0000
26,52,1940,1922.2,Right-Pallidum,92.8186,4.6958,78.0000,110.0000,32.0000
27,53,4864,4567.6,Right-Hippocampus,66.2582,8.4086,37.0000,118.0000,81.0000
28,54,2195,2141.8,Right-Amygdala,65.2451,7.2808,18.0000,87.0000,69.0000
29,58,869,835.9,Right-Accumbens-area,69.1968,5.9624,43.0000,90.0000,47.0000
30,60,4881,4651.6,Right-VentralDC,86.3782,10.2083,41.0000,117.0000,76.0000
31,62,48,64.4,Right-vessel,55.6875,9.8675,34.0000,81.0000,47.0000
32,63,941,811.6,Right-choroid-plexus,49.3401,11.8842,22.0000,83.0000,61.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,1354,1151.7,WM-hypointensities,70.1352,12.9067,30.0000,98.0000,68.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,10,7.4,non-WM-hypointensities,63.4000,12.7558,44.0000,88.0000,44.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,72,65.1,Optic-Chiasm,77.4028,16.4280,44.0000,113.0000,69.0000
41,251,955,900.5,CC_Posterior,96.8785,11.5809,41.0000,113.0000,72.0000
42,252,696,635.1,CC_Mid_Posterior,90.9698,13.9529,20.0000,113.0000,93.0000
43,253,697,637.5,CC_Central,91.5667,14.1192,26.0000,114.0000,88.0000
44,254,726,643.6,CC_Mid_Anterior,91.9132,15.9200,22.0000,120.0000,98.0000
45,255,819,796.3,CC_Anterior,102.6764,16.1227,29.0000,157.0000,128.0000
