Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,3650,3966.0,Left-Lateral-Ventricle,29.0562,12.8984,1.0000,75.0000,74.0000
2,5,243,277.6,Left-Inf-Lat-Vent,35.1852,13.6758,8.0000,72.0000,64.0000
3,7,14481,15101.5,Left-Cerebellum-White-Matter,82.8517,6.7519,36.0000,109.0000,73.0000
4,8,51663,51649.8,Left-Cerebellum-Cortex,59.2868,10.2261,18.0000,91.0000,73.0000
5,10,8458,8155.1,Left-Thalamus,81.2285,8.9667,46.0000,105.0000,59.0000
6,11,3744,3686.6,Left-Caudate,75.9204,7.6110,45.0000,98.0000,53.0000
7,12,5394,5239.5,Left-Putamen,82.2238,6.3924,57.0000,104.0000,47.0000
8,13,1937,1929.7,Left-Pallidum,95.7925,4.7743,74.0000,113.0000,39.0000
9,14,905,922.1,3rd-Ventricle,37.0818,14.0428,8.0000,69.0000,61.0000
10,15,1530,1648.3,4th-Ventricle,29.5889,11.5921,9.0000,66.0000,57.0000
11,16,20378,20386.4,Brain-Stem,79.5288,8.2912,33.0000,112.0000,79.0000
12,17,4745,4510.2,Left-Hippocampus,64.5427,8.3715,35.0000,99.0000,64.0000
13,18,1841,1793.0,Left-Amygdala,65.9337,6.7504,41.0000,87.0000,46.0000
14,24,1151,1131.5,CSF,43.8210,12.9221,12.0000,77.0000,65.0000
15,26,729,729.0,Left-Accumbens-area,71.6845,6.2300,44.0000,88.0000,44.0000
16,28,4237,4200.4,Left-VentralDC,87.5594,9.6146,32.0000,113.0000,81.0000
17,30,77,93.4,Left-vessel,56.2208,9.5829,25.0000,75.0000,50.0000
18,31,1183,1003.8,Left-choroid-plexus,49.5469,12.8401,14.0000,80.0000,66.0000
19,43,4276,4513.8,Right-Lateral-Ventricle,29.9584,14.2799,4.0000,85.0000,81.0000
20,44,455,470.7,Right-Inf-Lat-Vent,30.8835,12.6770,1.0000,70.0000,69.0000
21,46,13231,13893.1,Right-Cerebellum-White-Matter,81.7506,6.0443,33.0000,108.0000,75.0000
22,47,53069,52927.6,Right-Cerebellum-Cortex,59.6823,9.5457,21.0000,116.0000,95.0000
23,49,8689,8402.3,Right-Thalamus,81.0287,8.8470,39.0000,103.0000,64.0000
24,50,4068,3933.9,Right-Caudate,74.8306,8.2009,40.0000,97.0000,57.0000
25,51,5654,5438.1,Right-Putamen,81.4155,6.6963,38.0000,103.0000,65.0000
26,52,1970,1927.7,Right-Pallidum,94.1970,4.9273,57.0000,111.0000,54.0000
27,53,4598,4366.3,Right-Hippocampus,64.3051,8.0536,26.0000,91.0000,65.0000
28,54,1918,1887.8,Right-Amygdala,64.7591,6.9981,39.0000,86.0000,47.0000
29,58,924,890.9,Right-Accumbens-area,72.0195,6.6518,47.0000,92.0000,45.0000
30,60,4239,4071.8,Right-VentralDC,85.6645,10.1016,36.0000,112.0000,76.0000
31,62,49,67.9,Right-vessel,55.5306,7.8875,37.0000,74.0000,37.0000
32,63,1247,1053.6,Right-choroid-plexus,49.5501,12.2247,18.0000,82.0000,64.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,888,789.0,WM-hypointensities,70.4065,11.5098,32.0000,95.0000,63.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,9,7.9,non-WM-hypointensities,55.2222,7.5957,44.0000,70.0000,26.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,183,196.1,Optic-Chiasm,85.1475,16.0067,42.0000,110.0000,68.0000
41,251,980,941.9,CC_Posterior,96.3847,10.7647,44.0000,114.0000,70.0000
42,252,444,414.5,CC_Mid_Posterior,93.1802,13.7162,34.0000,113.0000,79.0000
43,253,783,718.8,CC_Central,89.2682,15.9322,32.0000,116.0000,84.0000
44,254,638,566.4,CC_Mid_Anterior,94.4545,14.8938,40.0000,117.0000,77.0000
45,255,940,890.8,CC_Anterior,104.7830,12.6006,19.0000,125.0000,106.0000
