Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,8456,8672.9,Left-Lateral-Ventricle,26.4812,11.8387,7.0000,74.0000,67.0000
2,5,207,230.9,Left-Inf-Lat-Vent,42.1111,12.5211,16.0000,76.0000,60.0000
3,7,16334,16837.4,Left-Cerebellum-White-Matter,81.7783,6.2475,36.0000,105.0000,69.0000
4,8,63489,63579.8,Left-Cerebellum-Cortex,60.3798,8.9385,21.0000,106.0000,85.0000
5,10,8387,8150.9,Left-Thalamus,81.9436,8.1251,47.0000,107.0000,60.0000
6,11,4657,4552.3,Left-Caudate,73.2598,7.4661,45.0000,98.0000,53.0000
7,12,5837,5640.9,Left-Putamen,80.7393,5.3320,62.0000,101.0000,39.0000
8,13,2002,2031.1,Left-Pallidum,94.7223,4.1708,80.0000,115.0000,35.0000
9,14,754,812.9,3rd-Ventricle,39.7135,12.2842,13.0000,72.0000,59.0000
10,15,1115,1275.0,4th-Ventricle,32.0287,11.3727,12.0000,63.0000,51.0000
11,16,22192,22052.2,Brain-Stem,79.9800,9.0183,32.0000,129.0000,97.0000
12,17,4767,4472.7,Left-Hippocampus,67.7672,8.0440,31.0000,104.0000,73.0000
13,18,1822,1787.4,Left-Amygdala,69.3820,6.1070,46.0000,89.0000,43.0000
14,24,1196,1169.4,CSF,48.3135,12.5535,16.0000,83.0000,67.0000
15,26,763,781.1,Left-Accumbens-area,70.6999,5.6010,48.0000,84.0000,36.0000
16,28,4181,4034.4,Left-VentralDC,87.9981,9.4216,42.0000,119.0000,77.0000
17,30,7,11.5,Left-vessel,69.8571,6.3359,63.0000,79.0000,16.0000
18,31,1099,947.8,Left-choroid-plexus,50.4067,11.5619,22.0000,83.0000,61.0000
19,43,8107,8134.1,Right-Lateral-Ventricle,27.9325,13.3160,5.0000,80.0000,75.0000
20,44,214,243.3,Right-Inf-Lat-Vent,36.1495,12.3580,13.0000,63.0000,50.0000
21,46,15798,16269.7,Right-Cerebellum-White-Matter,80.7343,5.7631,39.0000,99.0000,60.0000
22,47,62159,62184.7,Right-Cerebellum-Cortex,60.0999,8.8378,15.0000,87.0000,72.0000
23,49,8306,8050.6,Right-Thalamus,81.2425,8.1005,43.0000,101.0000,58.0000
24,50,4701,4559.8,Right-Caudate,72.9851,7.5423,42.0000,98.0000,56.0000
25,51,6231,5980.4,Right-Putamen,79.3799,5.9709,57.0000,102.0000,45.0000
26,52,1883,1889.5,Right-Pallidum,93.8332,4.1466,73.0000,112.0000,39.0000
27,53,4953,4644.0,Right-Hippocampus,67.2919,7.4490,35.0000,92.0000,57.0000
28,54,1952,1877.1,Right-Amygdala,67.7213,6.6938,44.0000,86.0000,42.0000
29,58,973,913.3,Right-Accumbens-area,70.8551,6.1102,54.0000,92.0000,38.0000
30,60,4429,4195.9,Right-VentralDC,85.9332,9.9616,32.0000,115.0000,83.0000
31,62,6,13.5,Right-vessel,62.1667,4.2151,55.0000,67.0000,12.0000
32,63,1029,870.9,Right-choroid-plexus,50.9747,12.1649,18.0000,83.0000,65.0000
33,72,0,0.0,5th-Ventricle,0.0000,0.0000,0.0000,0.0000,0.0000
34,77,668,574.8,WM-hypointensities,70.8548,10.5361,42.0000,97.0000,55.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,14,12.6,non-WM-hypointensities,62.1429,7.5433,47.0000,72.0000,25.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,84,78.5,Optic-Chiasm,76.4167,12.9496,47.0000,102.0000,55.0000
41,251,1137,1117.7,CC_Posterior,98.9683,8.6124,43.0000,116.0000,73.0000
42,252,712,644.7,CC_Mid_Posterior,90.0365,15.2111,28.0000,110.0000,82.0000
43,253,518,472.9,CC_Central,90.7413,13.6761,39.0000,108.0000,69.0000
44,254,671,597.4,CC_Mid_Anterior,91.9687,13.3695,48.0000,114.0000,66.0000
45,255,1057,983.6,CC_Anterior,98.2318,14.8908,33.0000,160.0000,127.0000
