Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,48638,48757.1,Left-Lateral-Ventricle,20.9109,8.0977,1.0000,80.0000,79.0000
2,5,860,898.9,Left-Inf-Lat-Vent,32.0442,13.4973,7.0000,75.0000,68.0000
3,7,19132,19850.5,Left-Cerebellum-White-Matter,82.9223,6.5885,36.0000,103.0000,67.0000
4,8,65673,65534.2,Left-Cerebellum-Cortex,59.3480,10.3958,14.0000,161.0000,147.0000
5,10,8485,8331.0,Left-Thalamus,86.0092,8.6491,20.0000,111.0000,91.0000
6,11,5000,4841.4,Left-Caudate,74.0714,8.3963,31.0000,100.0000,69.0000
7,12,5343,5183.7,Left-Putamen,81.1222,6.2414,58.0000,107.0000,49.0000
8,13,2610,2592.7,Left-Pallidum,97.2655,5.6753,74.0000,122.0000,48.0000
9,14,1904,1956.3,3rd-Ventricle,28.3545,11.4296,6.0000,66.0000,60.0000
10,15,3836,3991.0,4th-Ventricle,25.1533,9.2910,4.0000,62.0000,58.0000
11,16,25358,25442.7,Brain-Stem,79.6489,8.7829,28.0000,111.0000,83.0000
12,17,4460,4316.3,Left-Hippocampus,65.8540,8.4348,33.0000,97.0000,64.0000
13,18,1855,1889.4,Left-Amygdala,67.9294,7.0726,40.0000,90.0000,50.0000
14,24,1921,1899.2,CSF,43.6835,12.0401,14.0000,80.0000,66.0000
15,26,507,502.5,Left-Accumbens-area,72.2091,5.7269,52.0000,91.0000,39.0000
16,28,4697,4579.0,Left-VentralDC,88.6355,10.7478,37.0000,115.0000,78.0000
17,30,35,61.2,Left-vessel,60.3714,8.7012,41.0000,82.0000,41.0000
18,31,2391,2061.6,Left-choroid-plexus,44.2263,12.0146,10.0000,80.0000,70.0000
19,43,40680,40450.3,Right-Lateral-Ventricle,21.4628,9.3312,0.0000,79.0000,79.0000
20,44,1082,1138.1,Right-Inf-Lat-Vent,31.8641,12.9766,4.0000,73.0000,69.0000
21,46,18672,19468.7,Right-Cerebellum-White-Matter,81.6257,6.1037,37.0000,100.0000,63.0000
22,47,68844,68528.0,Right-Cerebellum-Cortex,59.9795,9.4806,22.0000,143.0000,121.0000
23,49,8576,8326.2,Right-Thalamus,84.5784,8.8652,38.0000,109.0000,71.0000
24,50,5082,4891.7,Right-Caudate,72.3914,8.8197,36.0000,103.0000,67.0000
25,51,5460,5289.1,Right-Putamen,79.0784,6.6264,38.0000,100.0000,62.0000
26,52,2374,2354.9,Right-Pallidum,97.3391,5.5548,74.0000,121.0000,47.0000
27,53,4744,4549.9,Right-Hippocampus,66.2997,8.2602,33.0000,101.0000,68.0000
28,54,2235,2227.5,Right-Amygdala,66.3530,7.5754,39.0000,91.0000,52.0000
29,58,700,665.0,Right-Accumbens-area,72.2857,6.4636,50.0000,90.0000,40.0000
30,60,4934,4710.1,Right-VentralDC,87.7231,10.7492,30.0000,117.0000,87.0000
31,62,55,72.4,Right-vessel,57.4364,8.8208,29.0000,73.0000,44.0000
32,63,2656,2472.3,Right-choroid-plexus,46.4575,11.8785,15.0000,86.0000,71.0000
33,72,1,1.0,5th-Ventricle,41.0000,0.0000,41.0000,41.0000,0.0000
34,77,3068,2340.1,WM-hypointensities,69.8158,13.0554,11.0000,112.0000,101.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,33,28.7,non-WM-hypointensities,53.0000,8.8987,39.0000,71.0000,32.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,313,321.6,Optic-Chiasm,81.6134,17.0328,34.0000,114.0000,80.0000
41,251,1269,1179.2,CC_Posterior,92.1024,14.0886,27.0000,113.0000,86.0000
42,252,499,425.8,CC_Mid_Posterior,90.2244,18.3730,40.0000,117.0000,77.0000
43,253,471,417.2,CC_Central,90.6752,18.3394,21.0000,117.0000,96.0000
44,254,569,498.5,CC_Mid_Anterior,93.0457,17.9244,24.0000,119.0000,95.0000
45,255,1212,1128.2,CC_Anterior,99.7962,15.5759,25.0000,125.0000,100.0000
