Index,SegId,NVoxels,Volume_mm3,StructName,normMean,normStdDev,normMin,normMax,normRange
1,4,9212,9395.7,Left-Lateral-Ventricle,25.5244,12.5490,4.0000,74.0000,70.0000
2,5,323,360.6,Left-Inf-Lat-Vent,42.9009,12.4015,6.0000,74.0000,68.0000
3,7,17177,17879.2,Left-Cerebellum-White-Matter,82.6817,6.0776,37.0000,104.0000,67.0000
4,8,65407,65368.0,Left-Cerebellum-Cortex,59.5076,9.6072,18.0000,122.0000,104.0000
5,10,8451,8159.6,Left-Thalamus,81.9657,8.6803,49.0000,106.0000,57.0000
6,11,3429,3346.4,Left-Caudate,72.7332,8.0755,43.0000,96.0000,53.0000
7,12,5627,5408.2,Left-Putamen,80.6058,6.5298,39.0000,102.0000,63.0000
8,13,1972,2000.7,Left-Pallidum,96.0593,4.5111,74.0000,118.0000,44.0000
9,14,1162,1186.3,3rd-Ventricle,31.1067,13.3852,7.0000,64.0000,57.0000
10,15,2416,2534.9,4th-Ventricle,27.1627,11.6249,3.0000,67.0000,64.0000
11,16,25425,25566.0,Brain-Stem,80.5727,8.6813,23.0000,110.0000,87.0000
12,17,4595,4373.4,Left-Hippocampus,66.4403,8.2773,34.0000,99.0000,65.0000
13,18,1737,1772.4,Left-Amygdala,69.6379,6.1544,49.0000,89.0000,40.0000
14,24,982,957.0,CSF,45.1151,12.7116,13.0000,75.0000,62.0000
15,26,548,536.9,Left-Accumbens-area,71.2536,5.1667,46.0000,89.0000,43.0000
16,28,4423,4356.2,Left-VentralDC,89.6303,10.0632,32.0000,116.0000,84.0000
17,30,96,115.6,Left-vessel,53.2083,12.1758,22.0000,74.0000,52.0000
18,31,1369,1186.7,Left-choroid-plexus,47.1607,11.8373,5.0000,82.0000,77.0000
19,43,6822,6968.1,Right-Lateral-Ventricle,26.7986,13.0206,0.0000,79.0000,79.0000
20,44,167,197.5,Right-Inf-Lat-Vent,39.3174,13.0167,3.0000,72.0000,69.0000
21,46,16764,17544.0,Right-Cerebellum-White-Matter,81.8820,5.5902,42.0000,102.0000,60.0000
22,47,71626,71641.9,Right-Cerebellum-Cortex,60.0054,9.3528,16.0000,145.0000,129.0000
23,49,8602,8342.2,Right-Thalamus,80.9493,8.4868,22.0000,104.0000,82.0000
24,50,3659,3535.2,Right-Caudate,71.6783,8.3256,43.0000,94.0000,51.0000
25,51,5850,5641.2,Right-Putamen,78.9675,6.8675,45.0000,100.0000,55.0000
26,52,1867,1883.3,Right-Pallidum,94.6304,4.4259,64.0000,113.0000,49.0000
27,53,5181,4949.6,Right-Hippocampus,65.5028,7.7925,34.0000,95.0000,61.0000
28,54,1830,1850.3,Right-Amygdala,67.5552,6.4392,45.0000,88.0000,43.0000
29,58,862,827.7,Right-Accumbens-area,70.8503,6.4050,47.0000,90.0000,43.0000
30,60,4674,4573.7,Right-VentralDC,87.6936,10.1535,32.0000,114.0000,82.0000
31,62,42,58.8,Right-vessel,57.4048,8.3346,33.0000,71.0000,38.0000
32,63,1357,1199.8,Right-choroid-plexus,49.5800,11.7289,19.0000,81.0000,62.0000
33,72,6,5.9,5th-Ventricle,37.8333,5.6362,31.0000,46.0000,15.0000
34,77,929,866.9,WM-hypointensities,69.2863,12.5047,4.0000,95.0000,91.0000
35,78,0,0.0,Left-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
36,79,0,0.0,Right-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
37,80,20,18.4,non-WM-hypointensities,52.7000,7.5749,43.0000,67.0000,24.0000
38,81,0,0.0,Left-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
39,82,0,0.0,Right-non-WM-hypointensities,0.0000,0.0000,0.0000,0.0000,0.0000
40,85,166,168.2,Optic-Chiasm,83.7952,17.0825,44.0000,115.0000,71.0000
41,251,881,879.1,CC_Posterior,97.4994,9.1428,47.0000,112.0000,65.0000
42,252,649,583.0,CC_Mid_Posterior,90.8105,12.9158,39.0000,109.0000,70.0000
43,253,489,444.0,CC_Central,89.4090,13.8264,24.0000,109.0000,85.0000
44,254,518,472.3,CC_Mid_Anterior,92.4421,13.0560,40.0000,113.0000,73.0000
45,255,1027,999.5,CC_Anterior,100.3350,10.4691,34.0000,122.0000,88.0000
